city,state,lat,long
Fergus Falls,Minnesota,46.283521,-96.077789
Hibbing,Minnesota,47.427155,-92.937689
International Falls AP,Minnesota,48.602315,-93.404068
Mankato,Minnesota,44.163578,-93.9994
Minneapolis/St. Paul AP,Minnesota,44.951545,-93.322599
Redwood Falls,Minnesota,44.539404,-95.116942
Rochester AP,Minnesota,46.729553,-94.6859
St. Cloud AP,Minnesota,45.557945,-94.16324
Tofte,Minnesota,47.57379,-90.836259
Virginia,Minnesota,47.52326,-92.536571
Willmar,Minnesota,45.122371,-95.048659
Winona,Minnesota,44.055391,-91.666352
"Biloxi, Keesler AFB",Mississippi,32.354668,-89.398528
Clarksdale,Mississippi,34.200109,-90.570932
Columbus AFB,Mississippi,33.641473,-88.450079
Greenville AFB,Mississippi,32.354668,-89.398528
Greenwood,Mississippi,33.516232,-90.179528
Hattiesburg,Mississippi,31.327119,-89.290339
Jackson AP,Mississippi,30.339172,-88.484035
Laurel,Mississippi,31.694051,-89.130612
McComb AP,Mississippi,32.354668,-89.398528
Meridian AP,Mississippi,13.038765,77.643263
Natchez,Mississippi,31.560444,-91.403171
Tupelo,Mississippi,34.257607,-88.703386
Vicksburg CO,Mississippi,32.288482,-90.753436
Cape Giradeau,Missouri,37.305884,-89.518148
Columbia AP,Missouri,38.967594,-92.34107
Farmington AP,Missouri,37.964253,-91.831833
Hannibal,Missouri,39.708379,-91.358482
Jefferson City,Missouri,38.576702,-92.173516
Joplin AP,Missouri,37.964253,-91.831833
Kansas City AP,Missouri,39.099727,-94.578567
Kirksville AP,Missouri,37.964253,-91.831833
Mexico,Missouri,39.173065,-91.887271
Moberly,Missouri,39.418369,-92.438237
Poplar Bluff,Missouri,36.756999,-90.392888
Rolla,Missouri,37.948544,-91.77153
St. Joseph AP,Missouri,37.964253,-91.831833
St. Louis AP,Missouri,38.627003,-90.199404
St. Louis CO,Missouri,38.627003,-90.199404
"Sedalia, Whiteman AFB",Missouri,38.728996,-93.560551
Sikeston,Missouri,36.876719,-89.587858
Spickard/Trenton,Missouri,40.078902,-93.616607
Springfield AP,Missouri,37.208957,-93.292299
"Warrensburg, Whiteman AFB",Missouri,38.732185,-93.552171
Billings AP,Montana,46.879682,-110.362566
Bozeman,Montana,45.676998,-111.042934
Butte AP,Montana,46.879682,-110.362566
Cut Bank AP,Montana,46.879682,-110.362566
Glasgow AP,Montana,48.196964,-106.636713
Glendive,Montana,47.106401,-104.710793
Great Falls AP,Montana,47.494184,-111.283345
"Great Falls, Malmstrom AFB",Montana,47.505012,-111.188004
Havre,Montana,48.549999,-109.684089
Helena AP,Montana,46.879682,-110.362566
Kalispell AP,Montana,48.191989,-114.316813
Lewiston,Montana,47.062473,-109.428238
Livingston AP,Montana,46.879682,-110.362566
Miles City AP,Montana,46.879682,-110.362566
Missoula AP,Montana,46.878718,-113.996586
Beatrice,Nebraska,40.265927,-96.746691
"Bellevue, Offutt AFB",Nebraska,41.124272,-95.914557
Chadron AP,Nebraska,41.492537,-99.901813
Columbus,Nebraska,41.430297,-97.35939
Fremont,Nebraska,41.433391,-96.498147
Grand Island AP,Nebraska,41.492537,-99.901813
Hastings,Nebraska,40.586258,-98.389873
Kearney,Nebraska,40.69933,-99.081678
Lincoln CO,Nebraska,40.933804,-100.800005
McCook,Nebraska,40.19667,-100.624874
Norfolk,Nebraska,42.032723,-97.413755
North Platte AP,Nebraska,41.140276,-100.760145
Omaha AP,Nebraska,41.268565,-95.985846
Omaha WSO,Nebraska,41.492537,-99.901813
Scottsbluff,Nebraska,41.866634,-103.667166
Sidney AP,Nebraska,41.492537,-99.901813
Valentine,Nebraska,42.872783,-100.550967
Carson City,Nevada,39.163798,-119.767403
Elko AP,Nevada,38.80261,-116.419389
Ely AP,Nevada,39.247439,-114.88863
Las Vegas AP,Nevada,36.169941,-115.13983
Lovelock AP,Nevada,38.80261,-116.419389
Mercury,Nevada,36.660511,-115.994475
"North Las Vegas, Nellis AFB",Nevada,36.264197,-115.013849
Reno AP,Nevada,39.529633,-119.813803
Reno CO,Nevada,39.529633,-119.813803
Tonapath AP,Nevada,38.80261,-116.419389
Winnemucca AP,Nevada,38.80261,-116.419389
Berlin,New Hampshire,44.46867,-71.185077
Claremont,New Hampshire,43.372864,-72.337874
Concord AP,New Hampshire,43.193852,-71.572395
Keene,New Hampshire,42.933692,-72.278141
Laconia,New Hampshire,43.527855,-71.470351
Lebanon,New Hampshire,43.642293,-72.251757
"Manchester, Grenier AFB",New Hampshire,43.193852,-71.572395
Mount Washington,New Hampshire,44.270585,-71.303272
"Portsmouth, Pease AFB",New Hampshire,43.193852,-71.572395
Atlantic City CO,New Jersey,39.415957,-74.500335
Long Branch,New Jersey,40.304278,-73.99236
M illville,New Jersey,39.40206,-75.039344
Newark AP,New Jersey,40.689531,-74.174462
New Brunswick,New Jersey,40.486216,-74.451819
Patterson,New Jersey,40.155392,-74.394055
Phillip sburg,New Jersey,40.69371,-75.190176
Teterboro,New Jersey,40.859822,-74.059307
"Trenton, McQuire AFB",New Jersey,40.027052,-74.586991
Vineland,New Jersey,39.486377,-75.025964
Alamagordo Holloman AFB,New Mexico,32.855833,-106.11399
Albuquerque AP,New Mexico,34.51994,-105.87009
Artesia,New Mexico,32.842335,-104.403296
Carlsbad AP,New Mexico,34.51994,-105.87009
Clayton,New Mexico,36.451693,-103.184104
"Clovis, Cannon AFB",New Mexico,34.409878,-103.33161
Farmington AP,New Mexico,34.51994,-105.87009
Gallup,New Mexico,35.528078,-108.742584
Grants,New Mexico,35.14726,-107.851447
Hobbs AP,New Mexico,34.51994,-105.87009
Las Cruces,New Mexico,32.31994,-106.763654
Los Alamos,New Mexico,35.880036,-106.303114
Raton AP,New Mexico,34.51994,-105.87009
"Roswell, Walker AFB",New Mexico,34.51994,-105.87009
Santa Fe CO,New Mexico,35.365371,-105.969988
Silver City AP,New Mexico,34.51994,-105.87009
Socorro AP,New Mexico,34.51994,-105.87009
Truth of Consequences,New Mexico,33.128405,-107.252807
Tucumcari AP,New Mexico,35.190179,-103.737474
Albany AP,New York,40.712784,-74.005941
Albany CO,New York,42.57568,-73.935982
Auburn,New York,42.931734,-76.566053
Bafavia,New York,42.998116,-78.187517
Binghamp ton AP,New York,40.712784,-74.005941
Buffalo AP,New York,40.712784,-74.005941
Central Islip,New York,40.790654,-73.201781
Cortland,New York,42.601181,-76.180484
Dunkirk,New York,42.479502,-79.333932
Elmira AP,New York,40.712784,-74.005941
Geneva,New York,42.867984,-76.985557
Glens Falls,New York,43.309516,-73.644006
Gloversville,New York,43.052851,-74.343747
Hornell,New York,42.327848,-77.661102
Ithaca,New York,42.443961,-76.501881
Jamestown,New York,42.097002,-79.235326
Kingston,New York,41.927037,-73.997361
Lockport,New York,43.170613,-78.69031
Massena AP,New York,40.712784,-74.005941
Newburg-Stewart AFB,New York,40.712784,-74.005941
NYC-Central Park,New York,40.771133,-73.974187
NYC-Kennedy AP,New York,40.712784,-74.005941
NYC-La Guardia AP,New York,40.712784,-74.005941
Niagra Falls AP,New York,43.096214,-79.037739
Olean,New York,42.083639,-78.429927
Oneonta,New York,42.452857,-75.063775
Oswego,New York,43.455346,-76.510497
Plattsburg AFB,New York,44.655154,-73.456432
Poughkeepsie,New York,41.700371,-73.92097
Rochester AP,New York,40.712784,-74.005941
Rome-Griffiss AFB,New York,40.712784,-74.005941
Schenectady,New York,42.814243,-73.939569
Suffolk County AFB,New York,40.712784,-74.005941
Syracuse AP,New York,43.100589,-76.201115
Utica,New York,43.100903,-75.232664
Watertown,New York,43.974784,-75.910756
White Plains,New York,41.033986,-73.76291
,,,
North Carolina,,35.759573,-79.0193
